train_loss,step,time,val_loss,val_accuracy
6.641861438751221,1,766880.74681873,6.641996383666992,0.009523809523809525
6.640584468841553,2,766880.769013549,6.641296863555908,0.010714285714285714
6.638940334320068,3,766880.780180364,6.640532493591309,0.009523809523809525
6.636868000030518,4,766880.790504992,6.639711856842041,0.010714285714285714
6.634497165679932,5,766880.800639212,6.63879919052124,0.011904761904761904
6.631405353546143,6,766880.811520405,6.637794494628906,0.013095238095238096
6.627525806427002,7,766880.822380586,6.636659622192383,0.013095238095238096
6.623965263366699,8,766880.832772087,6.635365962982178,0.011904761904761904
6.619877338409424,9,766880.843157217,6.633889198303223,0.013095238095238096
6.614947319030762,10,766880.853524383,6.632206916809082,0.013095238095238096
6.6085896492004395,11,766880.864073488,6.630298614501953,0.013095238095238096
